alpha_id,family,direction_type_train,dominant_side_train,leverage_risk_profile,liquidation_model,warning_adverse_move,danger_adverse_move,combined_train_beta_btc_daily,combined_train_beta_eth_daily,combined_train_beta_r2_daily,combined_train_residual_sharpe_daily,combined_train_alpha_intercept_ann,combined_train_corr_btc_1m,combined_train_corr_eth_1m,combined_val_beta_btc_daily,combined_val_beta_eth_daily,combined_val_beta_r2_daily,combined_val_residual_sharpe_daily,combined_val_alpha_intercept_ann,combined_val_corr_btc_1m,combined_val_corr_eth_1m,long_train_bars,long_train_net_return,long_train_net_sharpe_daily,long_train_max_drawdown,long_train_avg_turnover_per_bar,long_train_annualized_turnover,long_train_trade_events,long_train_mean_abs_position,long_train_gross_bps_per_unit_turnover,long_val_bars,long_val_net_return,long_val_net_sharpe_daily,long_val_max_drawdown,long_val_avg_turnover_per_bar,long_val_annualized_turnover,long_val_trade_events,long_val_mean_abs_position,long_val_gross_bps_per_unit_turnover,short_train_bars,short_train_net_return,short_train_net_sharpe_daily,short_train_max_drawdown,short_train_avg_turnover_per_bar,short_train_annualized_turnover,short_train_trade_events,short_train_mean_abs_position,short_train_gross_bps_per_unit_turnover,short_val_bars,short_val_net_return,short_val_net_sharpe_daily,short_val_max_drawdown,short_val_avg_turnover_per_bar,short_val_annualized_turnover,short_val_trade_events,short_val_mean_abs_position,short_val_gross_bps_per_unit_turnover,long_train_beta_btc_daily,long_train_beta_eth_daily,long_train_beta_r2_daily,long_train_residual_sharpe_daily,long_train_alpha_intercept_ann,long_train_corr_btc_1m,long_train_corr_eth_1m,long_val_beta_btc_daily,long_val_beta_eth_daily,long_val_beta_r2_daily,long_val_residual_sharpe_daily,long_val_alpha_intercept_ann,long_val_corr_btc_1m,long_val_corr_eth_1m,short_train_beta_btc_daily,short_train_beta_eth_daily,short_train_beta_r2_daily,short_train_residual_sharpe_daily,short_train_alpha_intercept_ann,short_train_corr_btc_1m,short_train_corr_eth_1m,short_val_beta_btc_daily,short_val_beta_eth_daily,short_val_beta_r2_daily,short_val_residual_sharpe_daily,short_val_alpha_intercept_ann,short_val_corr_btc_1m,short_val_corr_eth_1m,train_long_episodes,train_long_mae_abs_p95,train_long_mae_abs_p99,train_long_worst_mae,train_long_worst_holding_drawdown,train_long_max_holding_minutes,train_long_danger_count,train_long_warning_count,train_short_episodes,train_short_mae_abs_p95,train_short_mae_abs_p99,train_short_worst_mae,train_short_worst_holding_drawdown,train_short_max_holding_minutes,train_short_danger_count,train_short_warning_count,validation_long_episodes,validation_long_mae_abs_p95,validation_long_mae_abs_p99,validation_long_worst_mae,validation_long_worst_holding_drawdown,validation_long_max_holding_minutes,validation_long_danger_count,validation_long_warning_count,validation_short_episodes,validation_short_mae_abs_p95,validation_short_mae_abs_p99,validation_short_worst_mae,validation_short_worst_holding_drawdown,validation_short_max_holding_minutes,validation_short_danger_count,validation_short_warning_count
LT_MOM_0240,Momentum / Trend,LONG_ONLY,LONG,10X_ONLY,ADVERSE_MOVE_PROXY_NOT_EXACT_BINANCE_LIQUIDATION,0.07,0.09,-0.016712917574327982,-0.020393519052903097,0.040947369269164424,5.774479518110181e-16,-0.0070271742354053,-0.23080886356208702,-0.21726233471721576,0.05323102461701767,-0.022046007304766902,0.03735132641371519,-3.22297059511501e-16,-0.04977069169759221,-0.06537498407758553,-0.10795229361195642,1893888,0.01318079167307773,0.09629000775570168,-0.15228499079120483,0.0001740862790029496,91.50678080320358,1919,0.06155528500676155,6.887834697088814,631296,0.11127894650909265,1.3163058597932165,-0.0630692893518795,0.00016885898367036134,88.69169028103352,649,0.06327174603939056,16.242865718664824,1893888,-0.20137503700349113,-0.43732874661110405,-0.44482322730979806,0.00016864783538039774,88.6480674482882,1865,0.06203429028391838,0.26316111649072527,631296,-0.12478127149745866,-1.7721622261205023,-0.18553061249884295,0.00017139346164185554,90.0228915028274,658,0.062336523085832596,-5.874845383712316,0.07576713828322319,-0.016624555915552022,0.2449651777015741,-9.719401573863415e-16,-0.023603758369836348,0.4718597789139305,0.3680774917369749,0.09993554738108298,-0.015847083593588107,0.3735218377564723,-1.267529541219614e-15,0.015331030173029298,0.5075112240237235,0.36866945307053617,-0.0924800558569292,-0.0037689631381896127,0.3490981178906225,1.2932232053481418e-15,0.016576584185878013,-0.5661761726081164,-0.4855090175042528,-0.046704522757579546,-0.006198923714596051,0.18475753908738202,-5.829855318574042e-16,-0.06510172181859679,-0.5351493424156721,-0.46939568345058025,635,0.052115701120442046,0.08676735319679096,-0.13024911032028474,-0.23809286547667985,5700,5,7,626,0.044807916125507,0.07630765185673027,-0.11642406700467434,-0.5268525958015469,6180,3,7,210,0.02994331889364393,0.04618896418279888,-0.059080021228072654,-0.0983561197916667,7440.0,0,0,214,0.03515360020592497,0.05572516533385094,-0.06734816596512339,-0.12667478684531064,7980,0,0
LT_MOM_0720,Momentum / Trend,ASYMMETRIC_LS,LONG,10X_ONLY,ADVERSE_MOVE_PROXY_NOT_EXACT_BINANCE_LIQUIDATION,0.07,0.09,-0.026900863895192917,-0.050045732893500325,0.06687909552196192,2.6018963130322717e-16,0.15325163583138626,-0.23374061838116164,-0.221263552168963,0.04278216914923118,-0.019255111230220754,0.011733515269639616,-5.938156746358646e-16,0.003299832110826151,-0.09866622653505285,-0.12816959261240848,1893888,0.23377295427917177,0.524919983692617,-0.26204482987077304,0.00017635684343986213,92.70022313296795,1927,0.09868907928466797,13.422110553410265,631296,0.1379076312502221,1.2304271852143869,-0.06463001408238045,0.00018153128621634096,95.3477236032486,617,0.09794139117002487,17.910698476627086,1893888,-0.08260318520755305,0.030447484609422048,-0.5566275236296006,0.0001739278668537736,91.42353004217148,1908,0.09832469373941422,6.703723723006118,631296,-0.10613557239698634,-0.9106368267189723,-0.20272028893374028,0.00017234387632925063,90.5220967233181,588,0.09716013818979263,-3.264110655604778,0.13193842006479958,-0.028761678124171394,0.30884803745990386,-1.0780831330062927e-15,0.013328986115808772,0.4958596198895786,0.3829713013992357,0.1340471766251275,-0.02062589482395502,0.37966475297863067,-1.6677483768325772e-15,0.011907792920510755,0.5069449083563631,0.37153169206558406,-0.1588392839612696,-0.02128405476788689,0.37825031782908514,1.3870452971458318e-15,0.1399226497358184,-0.5628064092031934,-0.4819370478882603,-0.09126500747483088,0.0013707835928613576,0.23124158612905543,5.005021127643221e-16,-0.008607960795277366,-0.5320481804883747,-0.4614725927433305,474,0.06300160794150032,0.10218934923518996,-0.1238010368212038,-0.20103048634051401,8640,9,11,484,0.06162493769936106,0.10638300969745149,-0.40407324245991916,-0.6486232022110492,8700,8,6,146,0.032375512014978125,0.04113464584421105,-0.05960712548738367,-0.0983561197916667,7800.0,0,0,143,0.035872879911891926,0.06166215566028212,-0.07739454175687199,-0.14578258221680884,10020,0,1
LT_MOM_1440,Momentum / Trend,LONG_ONLY,LONG,10X_ONLY,ADVERSE_MOVE_PROXY_NOT_EXACT_BINANCE_LIQUIDATION,0.07,0.09,-0.001812034561004136,-0.07487810502714895,0.07052964193432332,6.005426755628104e-16,0.058033646054007904,-0.21283214490716673,-0.2031794231076488,0.021166966724236083,-0.0443174053283355,0.012044169726100118,-8.538916354654194e-16,-0.13865157171205866,-0.11688071218782968,-0.1366681178236529,1893888,0.26199630486270475,0.519143826803477,-0.3369825917035464,0.00014414793986361474,75.76994866132736,1549,0.12092903256416321,16.52113764861342,631296,-0.02874215762255472,-0.1516542423729292,-0.10998099524714411,0.00014763278886675835,77.54282630234957,539,0.12191111594438553,3.9478574660432857,1893888,-0.41408239826167104,-0.5112331027700804,-0.6325991657703651,0.0001405574003001675,73.8826393224299,1517,0.11974416673183441,-9.193363258152745,631296,-0.15453336003152962,-1.012652806126583,-0.26869518568402717,0.00014446472050622106,75.87881252914667,531,0.12699587643146515,-10.63914488952986,0.1524423301908403,-0.03776743416343781,0.2796949051719425,-1.462949700695666e-15,0.021035257337845364,0.499050036271366,0.3910204027701451,0.14415159202980832,-0.0310436627894963,0.30093966286289653,-2.17159014743811e-15,-0.12100963230649668,0.5302302304765509,0.38924844741216263,-0.15425436475231863,-0.03711067086360406,0.40568570718883346,1.6838402388913123e-15,0.036998388722561136,-0.5767362283560181,-0.49527858442020317,-0.1229846253046885,-0.01327374253933438,0.28704113529041997,1.4258245680374852e-15,-0.01764193939862238,-0.5671686316390825,-0.48115298574854626,342,0.07924552072223846,0.10919997054131267,-0.18756914264046187,-0.258771981385413,9480,11,10,337,0.0727692175868321,0.12197909968181041,-0.16828952000908415,-0.6486232022110492,9780,9,13,105,0.048717764214840524,0.06638535979604612,-0.06794140497379297,-0.0983561197916667,8460.0,0,0,113,0.04822781436635901,0.06554949265941701,-0.07250988993772256,-0.15068728522336783,9360,0,1
LT_MOM_4320,Momentum / Trend,ASYMMETRIC_LS,LONG,10X_ONLY,ADVERSE_MOVE_PROXY_NOT_EXACT_BINANCE_LIQUIDATION,0.07,0.09,-0.012577827819990561,-0.08720080025419219,0.08542111785584916,7.035821219821329e-16,0.22014322102084474,-0.1991620068660508,-0.197321312874203,0.04637122964567948,-0.0387822298368161,0.004196920485216249,3.777567753504311e-16,0.20461963479443754,-0.06353642397529424,-0.10073925312831442,1893888,0.3096484834647313,0.5639938401899299,-0.3959325281174223,0.00010845418728422374,57.00786354392767,1082,0.16551540791988373,23.036810270936307,631296,0.4015581800981902,1.8353555348192996,-0.07589862354441057,0.00011278386955382302,59.238723780959845,404,0.1731523722410202,55.731239728327644,1893888,-0.12101691533415104,0.04175613330135144,-0.6170502150424484,0.0001028571932693012,54.06588854268193,1028,0.16503193974494934,7.928034640495547,631296,-0.09887702172962287,-0.49416810168578773,-0.22821387580953967,0.00010914056474575773,57.325110118836164,393,0.16484186053276062,-6.210736630707039,0.1667567911981115,-0.04130368108927117,0.26616454245279175,-1.1227284951283018e-15,0.032917374918644306,0.5313277274439978,0.4209620712860629,0.21002043094211753,-0.027360628667978892,0.32254613295834433,7.0985147235288525e-16,0.133065503877299,0.5604886180457372,0.4248776634741091,-0.17933461901839085,-0.045897119164920785,0.43636685780192397,1.2330756459526116e-15,0.18722584610487827,-0.6112029953458192,-0.5323623762262143,-0.1636492012964381,-0.011421601168837198,0.367694181343005,9.738540496968836e-16,0.0715541309171384,-0.5970407247712041,-0.5237362713891738,183,0.10824337897459624,0.18895179545812327,-0.23720822517256757,-0.2536996956374704,16080,15,10,186,0.09442155908123023,0.15485022977474663,-0.19974300803131628,-0.6486232022110492,13020,11,7,66,0.06019445531738804,0.07019219810617519,-0.07848703470577523,-0.12224156692056587,11700.0,0,1,68,0.05694555320812376,0.12036764205646186,-0.1347301234910505,-0.17102356406480124,13320,2,1
LT_MR_Z_0240,Mean Reversion,UNRESOLVED,NONE,10X_ONLY,ADVERSE_MOVE_PROXY_NOT_EXACT_BINANCE_LIQUIDATION,0.07,0.09,-0.015329375225685326,0.02640747557374978,0.016173644463470138,1.1969311311742233e-15,-0.16949054833070978,0.18275241749278406,0.17255725719901144,-0.05505610429793918,0.026615116569451952,0.050285623407026026,4.610633927905526e-16,-0.17653108922219835,0.08888716240072922,0.12153206340989395,1893888,-0.03942750658736194,-0.04021705246414475,-0.21122226088115748,0.00038576722727157176,202.7748191356659,4836,0.06876489520072937,5.8097689245072965,631296,-0.03472247907778725,-0.5082575431353751,-0.07842865057453918,0.00038761543692089617,203.59152129292488,1631,0.07030489295721054,4.693095116209532,1893888,-0.4147049217140091,-1.7068905477215424,-0.4218985804151498,0.00035857464536093175,188.48122514784336,4577,0.0679468959569931,-1.669701245792409,631296,-0.19955300462243986,-2.832872101661945,-0.207544582260497,0.00036464675213210285,191.52745409309864,1559,0.06898379325866699,-3.5589082313662725,0.07150559455106265,0.008864945408443715,0.36462077146614047,-8.564454926617567e-16,-0.06309595295525347,0.6277561103801917,0.5327283039537325,0.04706685314248629,0.01624921708891024,0.3538521165175418,-1.3376274610282018e-15,-0.07349791538061913,0.6098817034037533,0.5326830334682103,-0.08683496977629787,0.017542530164894474,0.33295350076304797,7.517430292471255e-16,-0.10639459533308675,-0.5328489527412452,-0.42305578536135996,-0.1021229574434683,0.010365899483197778,0.49826678093314614,7.490127383431272e-16,-0.10303317380684014,-0.5587649500489554,-0.4215554857165284,1821,0.059573056247566814,0.14007646153129324,-0.36209347177089113,-0.3941425127843974,3030,43,26,1763,0.05900727563074558,0.11939758625146993,-0.40098999965970394,-0.41012910213999243,3120,40,22,613,0.03921046718726489,0.09402119094757007,-0.17782923912878956,-0.17945481613765724,3060.0,8,2,597,0.044665751323572776,0.08168834886691911,-0.1656095317075701,-0.1853190276812393,1890,4,7
LT_MR_Z_1440,Mean Reversion,UNRESOLVED,NONE,10X_ONLY,ADVERSE_MOVE_PROXY_NOT_EXACT_BINANCE_LIQUIDATION,0.07,0.09,-0.002531728710376102,0.03452135264283918,0.03185701236625771,8.680041748455992e-16,-0.16453457037387828,0.19223297158801805,0.18804219695349178,-0.03908691225826992,0.03350598753011838,0.012002048162604861,-5.374720758971149e-16,-0.09810081821881524,0.06787930700915668,0.10753313911822074,1893888,-0.07393973605353588,-0.0669639133319448,-0.26003946094712327,0.00012376654194667935,65.05668710544705,1557,0.09455152601003647,4.642740892025371,631296,0.020322890938831772,0.2779594238131,-0.10076539943759621,0.0001355940621579066,71.21959464624524,428,0.09091771394014359,8.94752134889456,1893888,-0.35730145900297017,-1.057673520534582,-0.3949203421868307,0.00012123207125114277,63.72446810826659,1533,0.09521368145942688,-12.241253457042761,631296,-0.15430758076640427,-1.703385060970034,-0.17900556314067495,0.00012482257443480194,65.5619608797133,394,0.09046151489019394,-14.687721013585719,0.10619907627101016,0.017507944963400315,0.461555544491038,-1.7515502627001525e-15,-0.10199020612303747,0.6321733417403138,0.5450190320713715,0.07988448142893263,0.011584290673580116,0.35232283073472626,-1.5197836538764338e-15,-0.05096976769173655,0.6018733919070955,0.5281961594773852,-0.10873080498130099,0.01701340767931843,0.3456079064371258,1.0614325944157825e-15,-0.0625443642482735,-0.5499859978625133,-0.4359399111514307,-0.1189713936872026,0.02192169685653829,0.3784794149986357,1.333535165257655e-15,-0.047131050527078694,-0.537074288747765,-0.4015604144351426,456,0.12243793891964425,0.24847613265173363,-0.5259051079794016,-0.5266882381999096,8400,37,21,461,0.13487620884473994,0.23833095693729472,-0.4302889790314195,-0.4430459610165547,9060,45,23,147,0.09056198733135376,0.15332992694194655,-0.16711955364368158,-0.17930742732821658,5340.0,8,6,139,0.09758739061451446,0.16186577596564977,-0.19968729768103977,-0.20272792910077841,5520,10,4
LT_OFI_0240,Order Flow,UNRESOLVED,NONE,10X_ONLY,ADVERSE_MOVE_PROXY_NOT_EXACT_BINANCE_LIQUIDATION,0.07,0.09,0.0011867179403695905,-0.002074710223429817,5.7333688807781336e-05,-8.946227762311687e-17,-0.2494634003734227,0.028210476151049716,0.01614328710572562,-0.021534733524045845,0.0017987287539930914,0.007221858766792044,-9.05662671166378e-16,-0.34412549810002474,-0.050272709850853275,-0.05217728073168662,1893888,-0.1987757154553409,-0.3913411028715147,-0.4241748588716835,0.000545121671166271,286.538081780076,8471,0.10873981565237045,4.271729798759218,631296,-0.13707293776307305,-1.582240049098801,-0.17836925599987563,0.0005911648622713983,310.50411231815815,3041,0.1024392768740654,2.1633594539403393,1893888,-0.5339781254547838,-1.57076511414056,-0.5877700949957828,0.0005581637960858643,293.39344668388367,8617,0.10855067521333694,-0.8716419156963496,631296,-0.2561107140035954,-2.6955542780281547,-0.26714005846502353,0.0005881549441255629,308.92328399419785,3005,0.10167369246482849,-1.836882140295337,0.10062168610971531,0.004267086108054541,0.35023215621549963,-8.307282948909729e-16,-0.12308910245358753,0.545692254746874,0.44953486391528175,0.06975417789187303,0.013016819254917846,0.2903465706203424,-2.0024855621073574e-15,-0.1833484262987106,0.5261034136181868,0.42795906464868416,-0.09943496816929212,-0.006341796331546828,0.34784465240399454,1.7836950674508586e-15,-0.12637429791483432,-0.5470320461214971,-0.4610754922025607,-0.09128891141591888,-0.01121809050092478,0.3130740569886521,1.551438948355898e-16,-0.16077707180131418,-0.5560359881955309,-0.46769062787237936,1488,0.04571207112138024,0.09760353476499843,-0.2099281421744592,-0.258771981385413,11160,18,10,1495,0.04128092648144076,0.07559728796011608,-0.20921982947119888,-0.5738511959489867,10395,8,13,546,0.03309903772695727,0.05365590454403899,-0.08006443590323309,-0.08435328046142754,12195.0,0,1,554,0.0339868508719933,0.05631903503836475,-0.14546085037044754,-0.15275527736867955,10440,1,0
LT_OFI_0720,Order Flow,ASYMMETRIC_LS,LONG,10X_ONLY,ADVERSE_MOVE_PROXY_NOT_EXACT_BINANCE_LIQUIDATION,0.07,0.09,-0.003145065238861066,-0.006829951195266008,0.0014886209194365785,2.8626625595282367e-16,0.20238386027837846,0.06316952931554524,0.031105396320254244,-0.0021117395558584414,-0.005435782251711426,0.0009981600498053522,-7.322247366616403e-16,-0.13342441224326368,-0.06942108403958294,-0.06898532548388511,1893888,0.6493347928519821,0.9822709064571709,-0.26755086731261546,0.00018807871674653143,98.86174824088812,3201,0.11660299450159073,21.760350588123874,631296,0.03062169945536719,0.34699320543365014,-0.1319556196632964,0.00020212387607898563,106.16379135847092,1131,0.10766898840665817,8.741660580588386,1893888,0.08638599226007715,0.24343727658741088,-0.21539891355074847,0.00019473159045446664,102.35882446914911,3301,0.11688653379678726,9.544924635040548,631296,-0.18684270280685866,-1.7360378525984916,-0.21692690043249663,0.00021384580759331584,112.32061401754618,1194,0.10252527892589569,-8.85729032903969,0.12160430185951286,0.000745118023426028,0.3010287709187862,-9.875088218471669e-16,0.07216459379576926,0.5514291359607976,0.4500391100192473,0.10859465266303676,-0.005993068590992225,0.36556290832329075,-1.6417469163952796e-15,-0.05835644059565999,0.5476164509274092,0.44243751443557594,-0.12474936709837381,-0.007575069218692054,0.4033672484845362,4.014557122700942e-16,0.1302192664826093,-0.5274561766374541,-0.4613205039103087,-0.11070639221889526,0.0005572863392807603,0.3182133784529386,7.273640259247312e-16,-0.07506797164760369,-0.5730844069634786,-0.4801761512095375,479,0.07241424521407407,0.1970791383833874,-0.28038223669748963,-0.29098508756719266,14070,16,10,490,0.06850453792269232,0.16243525213648186,-0.42466983492633603,-0.4310338680926915,14790,13,11,186,0.05467159594363624,0.08272683168781361,-0.11054214741893365,-0.11201671477227448,13020.0,2,1,193,0.05799909749787361,0.08348714070197048,-0.13412338021929338,-0.16593028964162992,5550,2,5
LT_VOL_ADJ_MOM_0720,Volatility,ASYMMETRIC_LS,LONG,10X_ONLY,ADVERSE_MOVE_PROXY_NOT_EXACT_BINANCE_LIQUIDATION,0.07,0.09,0.022687563687514598,-0.03219018683364404,0.01111241921671624,1.8667529350738981e-16,0.14627908412181684,-0.14464276837726722,-0.15336676446014777,0.024021432929173296,-0.008201220632236782,0.004955838760777542,9.594142793733151e-17,-0.01064058682038208,-0.0597557962109439,-0.10197507223529748,1893888,0.47065547969848254,0.9300506767572277,-0.21615391991777433,0.00019372849783394486,101.83148619532585,2112,0.10119756311178207,17.480183076853752,631296,0.10748706157147647,1.0216844727082925,-0.07601955616330025,0.00019800537847913802,104.0005669221282,711,0.1008991077542305,14.66345593839916,1893888,-0.024607516064989565,0.050427944332332365,-0.37294863100445586,0.00017794076120480895,93.53286136686802,1970,0.10135341435670853,6.685253690734634,631296,-0.10278138919474611,-0.9754514802038221,-0.1750025890526551,0.00018042248848360032,94.76531660556793,654,0.09855344891548157,-2.940066534197254,0.12588642838880523,-0.022893829316372266,0.3333835296433163,-1.1634664286277577e-15,0.05854811812160822,0.5067149949772732,0.3929554569686135,0.1231335378967628,-0.010099667044865118,0.40334657227611104,-1.2282089033305967e-15,-0.0074474970902480625,0.5255732659338688,0.3869498076199368,-0.10319886470168482,-0.009296357516931975,0.403618140304977,8.633210514097703e-16,0.08773096601371953,-0.6264468195183182,-0.5401387006442884,-0.09911210496775683,0.0018984464121697617,0.30421125977209007,1.1156315349135776e-15,-0.0031930897186181932,-0.5940113622854475,-0.5181825863129323,533,0.055500483978799066,0.09625408595681852,-0.14488007405041703,-0.23809286547667985,6000,9,7,552,0.05372139400574683,0.08156256921807242,-0.11624066515189324,-0.5738511959489867,8700,3,8,189,0.03387849661584028,0.041811593134909106,-0.1171643293098038,-0.12216352238278838,7920.0,1,0,190,0.0416889335565447,0.05695005562132197,-0.06667385743782539,-0.14578258221680884,6540,0,0
LT_VOLUME_CONFIRMED_MOM_0720,Liquidity / Microstructure,LONG_ONLY,LONG,10X_ONLY,ADVERSE_MOVE_PROXY_NOT_EXACT_BINANCE_LIQUIDATION,0.07,0.09,0.00561268145506213,-0.023481340923236036,0.02166900196786936,-9.244460922519018e-16,0.061952476042219484,-0.19575831694516146,-0.20055110830450124,0.039027072170429805,-0.023692436977954322,0.019113612651449063,-1.6521523390626337e-15,0.0049535720060206135,-0.09030536519964974,-0.13246799064985582,1893888,0.3122822822471192,1.0314786586783324,-0.1045258414756759,7.709010969847441e-05,40.5216575358063,1009,0.059160854667425156,25.44138733995496,631296,0.08614093989146898,1.2092262342844309,-0.04269318474110584,9.21913015190512e-05,48.422666911035776,326,0.05202631279826164,20.67700804754798,1893888,-0.16128763385837785,-0.41179940034774937,-0.3408330212910492,7.925496902316809e-05,41.65959572978318,1030,0.05692354589700699,-3.847046659647489,631296,-0.05636588230003792,-0.7717544632925389,-0.13156066332906868,8.062778215389699e-05,42.34903242252767,290,0.05113861709833145,-4.625766177566598,0.08349111267148702,-0.019133534681592568,0.35461109896898035,-3.766524276939032e-16,0.04478864917189898,0.5320666249359819,0.4082484247206101,0.0865489661281451,-0.02000692660369835,0.3351826973393197,-1.5661360354741284e-15,0.00862176045072774,0.4774585614184987,0.3453540291125335,-0.07787843121520299,-0.004347806242238406,0.3483304505611292,1.5446682469562656e-15,0.01716382688012436,-0.5830164774086356,-0.507550661429028,-0.047521893957331744,-0.0036855103735874,0.18598846207509123,1.0437145677683562e-15,-0.0036681884341868342,-0.5168490382488756,-0.461369287744314,351,0.07042194527408835,0.10010255718433841,-0.22842283552932374,-0.2587936124496838,17460,8,10,357,0.07133499804722039,0.12186386938543081,-0.2089950042635642,-0.6486232022110492,9360,7,13,105,0.03976570030660578,0.058018132265548854,-0.06654919033830364,-0.0983561197916667,9000.0,0,0,104,0.04664759020234146,0.0576196355984211,-0.061841627501943774,-0.1468315333006056,8400,0,0
